Line	BLUEs	norm_phe
Argosy	2654.718593	-1.0205849900812876
B21HR215	3458.804157	1.3145621859054564
B21HR228	3146.524417	0.4794332573822689
B21HR231	3034.206735	0.15863178411956436
B21HR285	3239.563299	0.73661527421359
B21HR310	3434.293171	1.251795605422929
B21HR363	3116.94316	0.396067963914
B21HR426	3573.06828	1.6014138698181148
B21HR447	3626.729182	1.7329745165081774
B21HR454	3500.388963	1.4200400260046842
B21HR476	3292.733249	0.8802932550555767
B21HR570	3366.159426	1.0749398319358583
C21HR263	3133.643541	0.44322938601492756
C21HR325	2809.564114	-0.5202486650676469
C21HR326	2885.723727	-0.2841925812179016
C21HR327	2805.421698	-0.5332708957406893
C21HR331	2868.868827	-0.33589288583454957
C21HR388	2686.059129	-0.9170023069643616
DYNASTY - I15622	2771.279622	-0.6413391718166381
K21HR0018L	2442.873086	-1.7545657398568835
K21HR0152D	2192.675224	-2.7082068939772497
K21HR0571L	2386.140777	-1.9619483028367186
K21HR0576W	2562.509231	-1.3325893733806256
K21HR0583W	2469.619401	-1.6584606040410426
K21HR0715L	2571.955495	-1.300114636060742
K21HR0993D	2308.408431	-2.2542476329438133
Lighthouse	2754.847114	-0.6938277185783888
O21HR092	3038.921822	0.17233610709501873
O21HR253	2923.438103	-0.16959384903912256
O21HR265	2916.154329	-0.19161065983641445
O21HR277	2776.169837	-0.6257789791896118
O21HR298	2813.33739	-0.5084035735526999
O21HR369	2514.896407	-1.4981187434571384
O21HR656	3089.094035	0.31685790095776434
OAC Fire Stripe	2582.698186	-1.2633276275037117
OAC Navabi	2709.082674	-0.8416750380039736
P21HR193	3009.388586	0.08614535357253358
P21HR212	2772.945611	-0.6360350738753465
P21HR213	2815.020262	-0.5031258131685973
P21HR222	2748.471092	-0.7142782987527899
P21HR227	2713.956616	-0.825810845222893
P21HR230	2825.310707	-0.47092177689319037
P21HR233	2830.39323	-0.45505922481898464
Racer	2839.279063	-0.42739485360513513
Rosito	2982.517887	0.006986934711831312
Shock	2254.777014	-2.461715764179538
Snowshoe	2748.923723	-0.7128249574231303
Vortex	3531.301683	1.497639813136708
W21HR0275	3298.949786	0.8969401255626087
W21HR0373	3391.217894	1.140397209701924
W21HR0379	3193.025141	0.6089092849314078
W21HR0402	3295.130879	0.8867174367455533
W21HR0412	3193.388111	0.6099124998427548
W21HR0447	3114.256485	0.38845727872310176
W21HR0523	3488.734974	1.3906071614254565
W21HR0530	3419.930175	1.2148070227508025
W21HR0550	3206.173907	0.6451786750561453
W21HR0555	3269.467174	0.8177103500847015
W21HR0572	3596.161574	1.6582723374025796
W21HR0690	3165.216652	0.5317082032227083
W21HR0695	3029.342564	0.14447181597581138
W21HR0707	3044.469115	0.1884320254801185
W21HR0712	3337.222532	0.9987422988689914
W21HR0714	3065.167386	0.24823194786897618
W21HR0748	3157.177462	0.5092636364913824
W21HR0756	3142.572165	0.468340572282817
W21HR0789	3143.463285	0.4708428737553842
W21HR0821	2719.02243	-0.8093522944416907
W21HR0830	3379.227331	1.1091361952640522
W21HR0835	3265.007671	0.8056639827386268
W21HR0842	3123.844677	0.41558822328070943
W21HR0845	2973.740512	-0.019024942683827636
W21HR1003	2889.448779	-0.2728071968174869
W21HR1005	3080.915824	0.2934612890999301
W21HR1016	3165.562004	0.5326711119218068
W21HR1018	3312.446436	0.9329742247298911
Windbreaker	2873.726514	-0.3209614464156632
ZORRO - B04554	3037.054912	0.16691250830175447
